かき氷,9548,10950,-20000,名,*,*,*,*,*,*,カキゴオリ,*
夜空,9548,10950,-20000,名,*,*,*,*,*,*,ヨゾラ,*
背中,1118,2745,-20000,名,*,*,*,*,*,*,セナカ,*
提灯,3148,709,-20000,名,*,*,*,*,*,*,チョウチン,*
大会,6812,546,-20000,名,*,*,*,*,*,*,タイカイ,*
屋台,6306,12473,-20000,名,*,*,*,*,*,*,ヤタイ,*
金魚,2550,3917,-20000,名,*,*,*,*,*,*,キンギョ,*
牛乳,6812,546,-20000,名,*,*,*,*,*,*,ギュウニュウ,*
職人,6812,546,-20000,名,*,*,*,*,*,*,ショクニン,*
海図,6756,13058,-20000,名,*,*,*,*,*,*,カイズ,*
通過,6555,1845,-20000,名,*,*,*,*,*,*,ツウカ,*
人波,1118,2745,-20000,名,*,*,*,*,*,*,ヒトナミ,*
荷物,6306,12473,-20000,名,*,*,*,*,*,*,ニモツ,*
線香花火,9548,10950,-20000,名,*,*,*,*,*,*,センコウハナビ,*
ほおずき市,9548,10950,-20000,名,*,*,*,*,*,*,ホオズキイチ,*
買っ,4546,9971,-20000,動,*,*,*,*,*,*,カッ,*
追っ,4546,9971,-20000,動,*,*,*,*,*,*,オッ,*
浸かっ,12438,4983,-20000,動,*,*,*,*,*,*,ツカッ,*
拾っ,347,295,-20000,動,*,*,*,*,*,*,ヒロッ,*
光っ,12596,9455,-20000,動,*,*,*,*,*,*,ヒカッ,*
駆ける,13018,14300,-20000,動,*,*,*,*,*,*,カケル,*
閉まる,14676,2060,-20000,動,*,*,*,*,*,*,シマル,*
香る,14676,2060,-20000,動,*,*,*,*,*,*,カオル,*
待ち伏せる,13018,14300,-20000,動,*,*,*,*,*,*,マチブセル,*
な,1498,1876,-20000,助,*,*,*,*,*,*,ナ,*
無い,13690,5373,-20000,助,*,*,*,*,*,*,ナイ,*
楽し,5054,12657,-20000,形,*,*,*,*,*,*,タノシ,*
冷た,1443,14658,-20000,形,*,*,*,*,*,*,ツメタ,*
星,4043,7183,3000,名,*,*,*,*,*,*,ホシ,*
港,8763,8729,3000,名,*,*,*,*,*,*,ミナト,*
殺し,3026,6777,3000,動,*,*,*,*,*,*,コロシ,*
直し,3026,6777,3000,動,*,*,*,*,*,*,ナオシ,*
空港,6812,546,-20000,名,*,*,*,*,*,*,クウコウ,*
大会社,6812,546,-20000,名,*,*,*,*,*,*,ダイガイシャ,*
閉まり,14322,11790,3000,動,*,*,*,*,*,*,シマリ,*
